kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence dsmem_latency
nocluster.1.sm_90.ptx 2411 : 3840 17920 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2410 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2409 : 3840 36480 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2408 : 3840 19584 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2405 : 3840 0 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2404 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2403 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2402 : 3840 15360 0 0 0 480 120 0 0 0 
nocluster.1.sm_90.ptx 2401 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2400 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2399 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2398 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2397 : 3840 26688 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2396 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2395 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2394 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2393 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2392 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2391 : 3840 1202592 0 0 0 480 120 0 0 0 
nocluster.1.sm_90.ptx 2390 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2389 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2388 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2387 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2384 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2383 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2382 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2381 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2379 : 3840 0 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2353 : 15 75 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2352 : 15 90 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2351 : 15 3812 0 0 0 15 15 0 0 0 
nocluster.1.sm_90.ptx 2350 : 15 135 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2349 : 15 135 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2378 : 3840 19520 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2347 : 3840 19125 0 0 0 0 0 0 15 0 
nocluster.1.sm_90.ptx 2341 : 1 254 0 0 0 1 1 0 0 0 
nocluster.1.sm_90.ptx 2344 : 256 1280 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2339 : 256 1275 0 0 0 0 0 0 1 0 
nocluster.1.sm_90.ptx 2338 : 256 1120 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2335 : 256 0 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2334 : 256 1536 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2333 : 256 2304 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2332 : 256 1344 0 0 0 32 8 0 0 0 
nocluster.1.sm_90.ptx 2331 : 256 2304 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2330 : 256 2304 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2329 : 256 2304 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2328 : 256 2304 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2327 : 256 1536 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2326 : 256 1536 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2325 : 256 2304 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2324 : 256 1536 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2323 : 256 1536 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2322 : 256 6720 0 8 8 0 0 0 0 0 
nocluster.1.sm_90.ptx 2321 : 256 2304 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2320 : 256 1536 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2317 : 256 1536 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2316 : 256 1280 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2314 : 256 0 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2311 : 15 75 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2310 : 15 3796 0 0 0 15 15 0 0 0 
nocluster.1.sm_90.ptx 2309 : 15 135 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2308 : 15 135 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2414 : 4096 20768 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2306 : 3840 19701 0 0 0 0 0 0 15 0 
nocluster.1.sm_90.ptx 2305 : 3840 17312 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2302 : 3840 0 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2301 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2300 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2299 : 3840 21888 0 0 0 480 120 0 0 0 
nocluster.1.sm_90.ptx 2298 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2297 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2296 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2295 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2294 : 3840 102528 0 120 120 0 0 0 0 0 
nocluster.1.sm_90.ptx 2293 : 3840 34560 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2292 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2289 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2288 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2287 : 3840 23040 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2285 : 3840 0 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2283 : 4096 1408 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2282 : 4096 24576 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2280 : 8192 22272 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2279 : 8192 49152 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2278 : 8192 77824 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2274 : 128 0 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2273 : 128 768 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2272 : 128 1152 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2171 : 61440 273504 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2170 : 61440 369824 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2169 : 61440 552960 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2168 : 61440 246368 0 1920 1920 0 0 0 0 0 
nocluster.1.sm_90.ptx 2167 : 61440 554656 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2166 : 61440 369376 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2165 : 61440 17977408 0 0 0 7680 1920 0 0 0 
nocluster.1.sm_90.ptx 2164 : 61440 554080 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2163 : 61440 553760 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2160 : 7680 46624 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2158 : 7680 0 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2270 : 8192 40320 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2269 : 8192 49152 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2268 : 8192 73728 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2267 : 8192 57344 0 8192 2048 0 0 0 0 0 
nocluster.1.sm_90.ptx 2266 : 8192 73728 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2265 : 8192 204800 0 2048 2048 0 0 0 0 0 
nocluster.1.sm_90.ptx 2264 : 8192 73728 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2057 : 4096 2325376 16384 0 0 512 128 0 0 0 
nocluster.1.sm_90.ptx 2056 : 4096 37120 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2055 : 4096 37344 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2054 : 4096 36864 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2053 : 4096 38112 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2052 : 4096 29312 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2051 : 4096 37504 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2050 : 4096 25344 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 2049 : 4096 37792 0 0 0 0 0 0 0 0 
