kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence dsmem_latency
flagaddr_writehit_swmr.1.sm_90.ptx 243 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 236 : 1 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 230 : 1 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 229 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 170 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 168 : 1 578 32 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 167 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 160 : 1 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 158 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 154 : 1 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 153 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 152 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 151 : 1 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 150 : 1 4 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 148 : 1 0 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 146 : 1 45 0 0 0 1 1 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 224 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 209 : 2 8 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 208 : 2 508 0 0 0 2 2 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 207 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 205 : 2 0 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 204 : 2 8 0 0 0 2 2 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 203 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 199 : 1 578 32 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 198 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 185 : 1 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 184 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 111 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 110 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 234 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 107 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 227 : 2 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 100 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 215 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 88 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 86 : 2 1144 32 0 0 2 2 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 211 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 84 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 143 : 2 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 89 : 2 18 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 60 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 119 : 2 18 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 178 : 1 0 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 217 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 90 : 2 20 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 61 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 120 : 2 18 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 74 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 91 : 2 8 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 189 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 62 : 2 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 248 : 2 18 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 121 : 2 20 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 180 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 92 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 63 : 2 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 249 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 122 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 181 : 1 4 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 93 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 191 : 1 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 64 : 2 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 250 : 2 0 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 123 : 2 18 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 182 : 1 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 94 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 65 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 124 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 183 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 66 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 125 : 2 18 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 108 : 2 1162 64 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 79 : 1 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 138 : 5 30 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 67 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 253 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 126 : 2 14 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 68 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 127 : 2 16 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 225 : 2 1154 64 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 98 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 69 : 2 5 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 128 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 112 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 210 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 83 : 2 10 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 142 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 113 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 114 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 173 : 1 6 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 115 : 2 0 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 174 : 1 9 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 244 : 1 578 32 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 117 : 2 18 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 176 : 1 4 0 0 0 1 1 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 118 : 2 14 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 131 : 2 12 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 132 : 2 0 0 0 0 0 0 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 136 : 5 1822 32 0 0 5 5 0 0 0 
flagaddr_writehit_swmr.1.sm_90.ptx 139 : 5 15 0 0 0 0 0 0 0 0 
