kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence dsmem_latency
special_share_icccflagdata.1.sm_90.ptx 275 : 2 0 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 274 : 2 12 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 273 : 2 18 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 272 : 2 10 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 266 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 209 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 207 : 1 573 32 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 206 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 199 : 1 6 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 187 : 1 0 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 185 : 1 46 0 0 0 1 1 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 182 : 1 572 32 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 181 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 174 : 1 6 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 172 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 168 : 1 6 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 165 : 1 0 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 164 : 1 6 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 271 : 2 10 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 250 : 2 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 243 : 1 573 32 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 235 : 1 6 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 229 : 1 6 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 162 : 1 46 0 0 0 1 1 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 159 : 1 573 32 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 158 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 278 : 2 10 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 151 : 1 6 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 242 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 115 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 110 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 228 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 105 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 103 : 1 5 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 88 : 2 12 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 84 : 2 10 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 143 : 1 0 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 119 : 2 10 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 61 : 2 10 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 247 : 2 12 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 120 : 2 10 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 189 : 1 4 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 62 : 2 10 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 248 : 2 12 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 121 : 2 12 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 75 : 2 10 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 92 : 2 12 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 190 : 1 6 0 0 0 0 0 0 0 0 
special_share_icccflagdata.1.sm_90.ptx 63 : 2 6 0 0 0 0 0 0 0 0 
