kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence dsmem_latency
global_writehit.1.sm_90.ptx 251 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 248 : 2 0 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 246 : 2 18 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 239 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 232 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 226 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 225 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 178 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 176 : 1 577 32 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 175 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 168 : 1 7 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 166 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 162 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 161 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 245 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 160 : 1 4 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 158 : 1 0 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 156 : 1 254 0 0 0 1 1 0 0 0 
global_writehit.1.sm_90.ptx 154 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 152 : 2 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 151 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 244 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 219 : 2 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 217 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 216 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 212 : 1 577 32 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 204 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 202 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 198 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 111 : 2 1159 64 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 110 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 101 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 88 : 2 0 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 87 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 86 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 145 : 2 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 240 : 1 577 32 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 113 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 211 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 84 : 2 1166 64 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 83 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 61 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 247 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 120 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 230 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 103 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 74 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 218 : 2 8 0 0 0 2 2 0 0 0 
global_writehit.1.sm_90.ptx 91 : 2 1144 32 0 0 2 2 0 0 0 
global_writehit.1.sm_90.ptx 63 : 2 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 181 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 76 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 135 : 2 18 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 93 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 182 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 221 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 94 : 2 8 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 65 : 2 16 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 183 : 1 9 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 95 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 125 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 223 : 1 4 0 0 0 1 1 0 0 0 
global_writehit.1.sm_90.ptx 96 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 194 : 1 4 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 67 : 2 14 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 185 : 1 4 0 0 0 1 1 0 0 0 
global_writehit.1.sm_90.ptx 97 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 60 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 187 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 197 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 70 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 129 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 114 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 115 : 2 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 130 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 62 : 2 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 189 : 1 4 0 0 0 1 1 0 0 0 
global_writehit.1.sm_90.ptx 131 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 132 : 2 0 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 64 : 2 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 191 : 1 0 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 134 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 66 : 2 18 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 193 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 136 : 2 18 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 68 : 2 8 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 195 : 1 6 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 137 : 2 14 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 69 : 2 10 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 196 : 1 5 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 138 : 2 16 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 139 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 140 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 141 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 144 : 2 12 0 0 0 0 0 0 0 0 
global_writehit.1.sm_90.ptx 149 : 2 616 32 0 0 2 2 0 0 0 
