kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence dsmem_latency
nocluster.1.sm_90.ptx 4975 : 1 5 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4974 : 1 6 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4973 : 1 254 0 0 0 1 1 0 0 0 
nocluster.1.sm_90.ptx 4972 : 1 9 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4970 : 256 1275 0 0 0 0 0 0 1 0 
nocluster.1.sm_90.ptx 4969 : 256 1344 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4966 : 512 1344 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4965 : 512 3072 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4964 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4963 : 512 2112 0 0 0 64 16 0 0 0 
nocluster.1.sm_90.ptx 4962 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4961 : 512 4672 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4960 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4959 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4958 : 512 3616 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4957 : 512 5024 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4956 : 512 3072 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4955 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4954 : 512 3200 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4953 : 512 3072 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4952 : 512 157952 0 0 0 64 16 0 0 0 
nocluster.1.sm_90.ptx 4951 : 512 4704 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4950 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4947 : 256 1536 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4945 : 256 0 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4944 : 256 1312 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4667 : 512 2112 0 0 0 64 16 0 0 0 
nocluster.1.sm_90.ptx 4666 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4659 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4658 : 512 3200 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4656 : 512 157952 0 0 0 64 16 0 0 0 
nocluster.1.sm_90.ptx 4651 : 256 1536 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4383 : 1 5 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4382 : 1 6 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4381 : 1 254 0 0 0 1 1 0 0 0 
nocluster.1.sm_90.ptx 4380 : 1 9 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4378 : 256 1275 0 0 0 0 0 0 1 0 
nocluster.1.sm_90.ptx 4377 : 256 1344 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4374 : 512 1344 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4373 : 512 3072 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4372 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4371 : 512 2112 0 0 0 64 16 0 0 0 
nocluster.1.sm_90.ptx 4370 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4369 : 512 4672 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4368 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4367 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4366 : 512 3616 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4365 : 512 5024 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4364 : 512 3072 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4363 : 512 4608 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4362 : 512 3200 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4361 : 512 3072 0 0 0 0 0 0 0 0 
nocluster.1.sm_90.ptx 4360 : 512 157952 0 0 0 64 16 0 0 0 
