kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence dsmem_latency
readshare.1.sm_90.ptx 120 : 8384 41920 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 119 : 8384 33536 0 0 0 1048 262 0 0 0 
readshare.1.sm_90.ptx 118 : 8384 75456 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 117 : 8384 75456 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 116 : 8384 75456 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 115 : 8384 41920 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 100 : 8384 41920 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 99 : 8384 50304 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 96 : 4292608 21421120 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 95 : 4292608 25755648 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 94 : 4292608 42926080 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 93 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 92 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 91 : 4292608 193167360 0 0 0 134144 134144 0 0 0 
readshare.1.sm_90.ptx 90 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 89 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 88 : 4292608 111607808 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 87 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 86 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 85 : 4292608 193167360 0 0 0 134144 134144 0 0 0 
readshare.1.sm_90.ptx 84 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 83 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 82 : 4292608 111607808 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 81 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 80 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 79 : 4292608 193167360 0 0 0 134144 134144 0 0 0 
readshare.1.sm_90.ptx 78 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 77 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 76 : 4292608 111607808 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 75 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 74 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 73 : 4292608 201591744 0 0 0 134144 134144 0 0 0 
readshare.1.sm_90.ptx 72 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 71 : 4292608 38633472 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 70 : 4292608 111607808 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 66 : 8384 58688 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 65 : 8384 75456 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 60 : 8384 50304 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 56 : 8384 0 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 55 : 8384 50304 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 54 : 8384 50304 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 50 : 131 393 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 191 : 1 322 0 0 0 1 1 0 0 0 
readshare.1.sm_90.ptx 67 : 8384 67072 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 194 : 8448 42240 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 63 : 8384 0 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 190 : 1 5 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 62 : 8384 50304 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 189 : 1 4 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 61 : 8384 50304 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 188 : 1 4 0 0 0 1 1 0 0 0 
readshare.1.sm_90.ptx 59 : 8384 58688 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 186 : 64 315 0 0 0 0 0 0 1 0 
readshare.1.sm_90.ptx 58 : 8384 75456 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 185 : 64 384 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 139 : 32768 851968 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 136 : 64 512 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 135 : 64 448 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 134 : 64 576 0 0 0 0 0 0 0 0 
