kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence dsmem_latency
readshare.1.sm_90.ptx 131 : 2 0 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 98 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 96 : 2 10 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 92 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 91 : 2 10 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 90 : 2 8 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 89 : 2 508 0 0 0 2 2 0 0 0 
readshare.1.sm_90.ptx 88 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 86 : 2 0 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 85 : 2 8 0 0 0 2 2 0 0 0 
readshare.1.sm_90.ptx 83 : 2 617 32 0 0 2 2 0 0 0 
readshare.1.sm_90.ptx 81 : 2 10 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 78 : 7 25 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 54 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 111 : 1 6 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 52 : 2 0 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 110 : 1 5 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 51 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 50 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 108 : 2 5 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 49 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 48 : 2 10 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 77 : 7 42 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 106 : 2 1145 64 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 47 : 2 10 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 105 : 2 10 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 46 : 2 6 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 134 : 2 10 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 75 : 7 2331 32 0 0 7 7 0 0 0 
readshare.1.sm_90.ptx 45 : 2 6 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 44 : 2 6 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 43 : 2 10 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 55 : 2 18 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 42 : 2 10 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 130 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 71 : 2 0 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 115 : 1 5 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 56 : 2 18 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 57 : 2 18 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 117 : 1 6 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 58 : 2 20 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 59 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 60 : 2 18 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 61 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 62 : 2 18 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 63 : 2 20 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 64 : 2 24 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 124 : 1 5 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 65 : 2 14 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 125 : 1 573 32 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 66 : 2 18 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 67 : 2 12 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 129 : 2 18 0 0 0 0 0 0 0 0 
readshare.1.sm_90.ptx 70 : 2 12 0 0 0 0 0 0 0 0 
