kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence dsmem_latency
wbl1.1.sm_90.ptx 265 : 4 20 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 190 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 189 : 4 36 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 248 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 188 : 4 28 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 187 : 4 48 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 246 : 4 20 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 186 : 4 40 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 185 : 4 36 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 184 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 183 : 4 36 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 242 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 182 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 241 : 4 20 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 181 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 180 : 4 40 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 239 : 16 60 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 179 : 4 36 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 178 : 4 36 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 237 : 16 2860 128 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 193 : 16 96 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 164 : 4 20 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 223 : 16 96 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 177 : 4 36 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 236 : 16 80 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 194 : 16 0 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 165 : 4 20 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 166 : 4 12 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 167 : 4 12 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 168 : 4 12 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 227 : 16 80 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 198 : 115 30334 32 0 0 115 115 0 0 0 
wbl1.1.sm_90.ptx 169 : 4 20 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 170 : 4 20 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 229 : 16 96 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 171 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 172 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 173 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 174 : 4 0 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 176 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 200 : 115 690 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 201 : 115 495 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 260 : 16 144 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 204 : 16 96 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 205 : 16 96 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 206 : 16 96 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 207 : 16 60 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 209 : 4 24 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 210 : 4 36 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 212 : 4 16 0 0 0 4 4 0 0 0 
wbl1.1.sm_90.ptx 216 : 16 64 0 0 0 16 16 0 0 0 
wbl1.1.sm_90.ptx 217 : 16 0 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 219 : 16 96 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 220 : 16 4064 0 0 0 16 16 0 0 0 
wbl1.1.sm_90.ptx 221 : 16 64 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 222 : 16 80 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 261 : 16 96 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 262 : 16 60 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 255 : 4 20 0 0 0 0 0 0 0 0 
wbl1.1.sm_90.ptx 256 : 4 715 32 0 0 0 0 0 0 0 
